154661,9.111041,9.790895,12.164255,9.265185,3.838997,8.209671,6.435778,7.955017,8.421055,12.627641,11.964095,9.164083,5.424696,8.546399,10.758153,13.433815,9.36792,10.152629,8.192945,12.580698,11.376428,15.184125,9.418762,11.327858,11.433353,9.398176,7.852246,10.656555,10.507332,7.487927,8.027597,10.398524,11.652334,8.032433,8.586054,11.786223,12.058016,9.273834,11.667635,8.909556,5.662175,8.101885,8.01419,13.446312,13.460377,10.230901,7.118341,8.883357,11.920152,12.874776,11.36808,11.700202,9.685929,8.670022,9.541624,8.910124,12.049272,11.596434,7.808161,12.252909,8.434935,9.000043,11.743586,8.919792,6.321755,8.653072,12.128497,6.683868,11.204883,9.773013,14.909387,10.179801,15.66779,8.06236,5.760403,10.039959,13.920278,16.743918,
137872,51.284861,49.892785,48.579485,59.185825,30.508568,40.138275,20.571898,30.432804,48.865768,73.602131,75.946566,48.784535,37.975326,50.196422,48.84252,62.533768,61.471936,46.774064,50.356681,72.679364,69.069037,78.817057,77.524063,61.86246,50.303536,57.840248,48.936679,69.07396,46.69449,48.64081,57.540625,61.342052,71.042481,41.796938,67.211491,65.397382,79.766622,71.416507,67.619429,55.522353,50.173322,54.612552,54.127725,76.580299,68.642282,73.896118,33.322995,56.759342,75.135782,70.470178,72.297231,53.413146,54.102888,59.271021,47.297424,62.185293,56.478553,58.925018,70.723063,77.074595,51.648755,45.231247,77.800015,60.952502,37.053323,58.28784,69.700269,65.331018,63.045607,67.172614,78.266016,56.202373,76.892917,47.913118,58.191937,66.240954,62.925423,80.151494,
319,71.174418,95.56633,106.26216,81.760921,56.406234,91.599465,73.556552,54.450167,109.780923,90.454521,71.759553,64.206343,61.008867,63.262258,65.572351,92.703204,38.743975,65.032311,55.642862,97.859272,88.827169,91.883636,132.578034,74.093063,78.502473,59.355678,107.262208,63.009528,79.499322,67.900541,89.676673,65.50714,98.584405,72.363762,134.64679,55.527068,49.452043,114.976007,73.729679,83.278104,78.229447,92.958674,60.278368,60.323029,61.556011,142.413292,36.58986,60.854002,121.554376,77.227305,83.731538,74.45168,74.268107,63.825736,48.778336,79.687749,94.469916,74.378893,105.053661,78.092868,65.164193,48.03164,106.665994,95.130824,79.644862,54.691242,103.78368,49.668418,208.62556,110.359613,136.81611,64.983687,143.793737,72.948351,49.032249,74.097702,104.257055,160.543711,
SomeID,440349.1.X_1,440350.1.X_1,440351.1.X_4,440352.1.X_4,440353.1.X_4,440354.1.X_4,440355.1.X_4,440357.1.X_5,440375.1.X_8,440376.1.X_1,440377.1.X_1,440378.1.X_1,440379.1.X_1,440380.1.X_1,440381.1.X_1,440382.1.X_1,440383.1.X_1,440384.1.X_1,440385.1.X_1,440388.1.X_1,440389.1.X_1,440390.1.X_1,440391.1.X_3,440393.1.X_3,440394.1.X_3,440395.1.X_3,440408.1.X_6,440409.1.X_6,440410.1.X_6,440411.1.X_7,440417.1.X_8,440418.1.X_8,440419.1.X_8,440420.1.X_8,440421.1.X_1,440422.1.X_1,440423.1.X_1,440424.1.X_1,440426.1.X_2,440429.1.X_2,440430.1.X_2,440432.1.X_1,440435.1.X_3,440436.1.X_4,440437.1.X_1,440438.1.X_4,440440.1.X_4,440441.1.X_5,440451.1.X_7,440474.1.X_2,440475.1.X_2,440476.1.X_2,440477.1.X_2,440478.1.X_2,440479.1.X_3,440480.1.X_3,440481.1.X_3,440482.1.X_3,440483.1.X_3,440484.1.X_4,440485.1.X_4,440487.1.X_4,440488.1.X_4,440490.1.X_5,440492.1.X_5,440525.1.X_4,440526.1.X_4,440527.1.X_4,440528.1.X_5,440529.1.X_5,440534.1.X_5,440538.1.X_6,440548.1.X_7,449058.1.X_7,449060.1.X_8,449063.1.X_8,449064.1.X_8,449065.1.X_5,P Values,154661,137872,319,R Values,154661,137872,319
10157,39.011892,52.809395,42.644296,61.032134,11.930882,37.823223,9.940905,17.119255,35.035644,64.896445,55.235347,35.04666,18.104472,47.01851,56.040172,83.525915,36.234456,41.002907,39.526517,59.048052,63.826151,86.315839,58.48211,68.533275,33.362259,64.24487,26.873845,41.548025,42.17077,36.864291,33.801342,58.707978,83.024025,30.202016,57.448201,41.576189,43.760909,63.713535,72.150044,55.315051,43.506089,44.547881,34.296971,41.628664,36.259501,64.823422,22.923693,39.303034,68.024173,50.579038,50.29572,54.4089,38.16103,43.335237,50.951842,55.820621,65.752637,26.394925,54.529131,56.206206,35.789615,41.985771,69.187649,55.859031,27.524156,37.275888,57.469262,49.649172,87.086609,62.059004,123.138641,83.725667,98.642942,44.069899,33.721167,36.768839,49.218712,89.902952,,9.393773953763368e-12,5.352532079612242e-12,5.4133244192970494e-09,,0.6777698315483395,0.6835225267385281,0.6023285629029195
27077,7.220618,7.968176,8.074036,10.538329,7.813706,6.229503,5.749879,4.800463,10.29663,12.457974,6.687048,10.739928,7.524411,10.448255,8.274253,11.197013,9.455673,6.797039,6.381889,11.229738,13.403949,14.854488,12.720706,10.805271,12.423815,10.014692,6.813657,9.243951,9.881699,10.688479,9.163185,11.248353,14.323459,7.84583,11.244487,8.441058,8.063987,13.042946,9.712742,10.462359,7.565092,7.057929,8.867331,12.761969,8.567704,13.973222,4.342798,7.375383,10.966864,11.643302,12.551628,10.562454,5.122668,7.60077,7.424458,9.576431,9.457853,8.021302,10.396693,10.474773,6.974439,8.035619,12.533214,12.422315,6.563923,7.761751,10.510338,7.471627,12.036218,15.255161,22.496863,8.167049,17.520063,9.283126,9.584873,6.911485,7.874444,17.575743,,1.2247337347991686e-08,8.187761563746318e-11,4.0780032475190144e-09,,0.5909868793994921,0.6543502707950769,0.6061624400011096
23026,2.486322,2.51202,2.648101,3.09095,1.080227,1.618277,1.130481,1.916288,2.690989,3.508024,3.195916,1.950746,1.918984,2.063727,2.23561,2.177392,2.750678,2.713156,2.554567,2.843001,2.514887,3.583886,3.527737,3.388491,2.076182,3.145776,2.257255,2.68801,1.526481,2.068724,2.445426,2.660585,2.622031,2.301764,4.06851,3.106471,3.904887,2.329543,3.20301,3.063128,2.150235,3.900685,2.718748,3.396009,3.166501,3.651656,2.134204,2.297912,3.790176,3.906767,3.574634,3.549382,2.856962,2.883136,2.080339,3.123894,3.818552,2.739447,3.135935,3.635241,2.735803,1.897748,4.630978,2.399399,2.747835,3.340847,4.127845,2.89682,4.283357,2.327481,5.271756,3.735125,5.238351,2.578259,3.426043,2.338437,3.208045,5.424834,,6.622225543427553e-10,3.557994124000404e-14,6.06940898558907e-07,,0.6296143196063938,0.729585395182998,0.5298968069304313
36,126.867573,233.617452,144.729129,128.654955,65.685063,179.221559,70.645988,107.088569,140.68416,262.671066,152.127507,157.314841,140.676695,139.876679,180.52085,206.103628,125.063541,138.39062,114.397674,207.14736,165.96204,214.738852,166.018468,155.883438,167.758332,123.519208,173.719817,199.093616,107.427472,105.786598,197.170837,129.524904,198.772347,119.339161,220.565553,132.430292,183.250256,232.675148,129.139535,215.409084,167.9528,188.36017,146.527353,189.914272,106.262674,192.348784,102.359203,177.012957,241.124166,194.265679,136.239718,153.77076,192.008692,125.549338,198.911675,151.976502,177.262009,172.395583,163.64912,224.356991,146.412786,128.478105,186.920643,170.846808,140.277451,190.862697,181.734464,109.003475,290.419562,167.58646,245.599185,201.092527,276.22218,124.929066,201.540483,152.942542,184.592386,247.384079,,5.716496162546592e-07,2.0043253272990957e-08,3.870761947068838e-10,,0.5309327174730927,0.5839262272187329,0.6361843062263732
4329,173.077348,167.510124,191.752813,160.616573,62.039193,154.276043,73.331337,108.154403,184.936774,208.082526,143.060426,149.025197,133.167656,156.968172,175.631548,279.559773,160.115242,193.184984,138.431182,197.045317,202.531132,238.530749,217.996362,225.404198,176.418863,175.296182,129.287308,173.800781,141.253781,140.700206,167.589042,157.232296,247.319357,128.312465,191.709927,158.042045,158.362656,248.132241,174.448014,161.050146,136.220283,157.048758,110.707565,261.021433,108.487692,250.311613,92.502689,138.53239,263.151034,169.03598,185.912704,179.888041,207.727526,148.067653,177.073403,157.624733,190.963816,164.831433,238.073855,192.293937,169.988435,133.506576,231.146731,213.331686,117.85059,201.632215,203.491526,149.704097,247.193166,238.616652,285.576637,178.205334,259.649376,167.313554,111.768728,182.014729,182.923108,243.104882,,1.0474114852847809e-10,6.508053492173736e-13,2.3518748330599305e-10,,0.6515502642355044,0.7039681310713991,0.6421437390656304
162239,14.00362,10.115344,17.903225,17.034909,9.42018,8.781276,8.290101,12.123417,16.583521,21.295961,15.313191,11.344083,10.862628,14.947932,15.934448,21.943119,13.160744,18.574266,16.677012,20.945013,20.412341,27.116655,20.46135,18.136399,15.786666,17.02953,12.599061,18.563886,12.534726,15.267873,15.390991,15.265008,21.096538,14.966359,19.028103,13.280502,23.516252,21.997821,22.717225,18.588933,15.162753,18.369431,10.746,14.929301,13.196695,18.867762,11.904101,14.893299,29.331778,22.838694,22.381196,15.946555,21.678932,21.378306,11.812125,17.992152,18.592408,14.748279,22.803336,19.811687,19.612088,11.793611,22.493807,16.642412,11.547992,14.929448,18.213716,17.351957,15.177736,17.895478,35.483827,19.559869,28.137678,14.152685,10.800794,25.223722,18.432599,28.124994,,2.738104863559518e-10,1.9211470209940993e-14,1.1036034220834534e-05,,0.6403386894322669,0.73466899047287,0.4751588912856163
113177,1.785534,1.391217,2.03115,2.273336,0.568359,1.032121,1.853045,1.478983,1.580751,2.137817,1.971008,1.182996,1.570406,1.892837,1.593734,1.580547,1.900702,1.762029,1.422696,1.859958,3.042748,3.081569,3.273068,2.314957,2.266565,1.715883,1.085128,2.59236,1.947994,2.13079,1.656546,2.218096,2.311354,1.565297,2.389746,1.971751,1.533087,2.316048,2.178185,2.45813,2.372817,2.226201,0.672313,2.010741,2.196752,3.480714,1.461226,2.292223,2.685418,3.743669,3.234881,2.077773,1.440555,2.606988,2.069629,1.782825,3.010125,1.200095,1.962723,2.259647,2.379781,2.176093,2.746389,2.554263,1.435679,1.460378,2.533706,1.115187,2.491728,3.051962,2.692349,2.211007,2.563142,1.211676,1.712212,1.331458,1.525973,2.843545,,1.3731440816410268e-05,7.604885084940085e-08,4.249471486351471e-05,,0.4706257044524861,0.5639281972598323,0.44610767837588056
154661,9.111041,9.790895,12.164255,9.265185,3.838997,8.209671,6.435778,7.955017,8.421055,12.627641,11.964095,9.164083,5.424696,8.546399,10.758153,13.433815,9.36792,10.152629,8.192945,12.580698,11.376428,15.184125,9.418762,11.327858,11.433353,9.398176,7.852246,10.656555,10.507332,7.487927,8.027597,10.398524,11.652334,8.032433,8.586054,11.786223,12.058016,9.273834,11.667635,8.909556,5.662175,8.101885,8.01419,13.446312,13.460377,10.230901,7.118341,8.883357,11.920152,12.874776,11.36808,11.700202,9.685929,8.670022,9.541624,8.910124,12.049272,11.596434,7.808161,12.252909,8.434935,9.000043,11.743586,8.919792,6.321755,8.653072,12.128497,6.683868,11.204883,9.773013,14.909387,10.179801,15.66779,8.06236,5.760403,10.039959,13.920278,16.743918,,0.0,1.7526218188074514e-12,0.0002656508364472886,,0.9999999999999999,0.6945659963483004,0.4018439015371985
137872,51.284861,49.892785,48.579485,59.185825,30.508568,40.138275,20.571898,30.432804,48.865768,73.602131,75.946566,48.784535,37.975326,50.196422,48.84252,62.533768,61.471936,46.774064,50.356681,72.679364,69.069037,78.817057,77.524063,61.86246,50.303536,57.840248,48.936679,69.07396,46.69449,48.64081,57.540625,61.342052,71.042481,41.796938,67.211491,65.397382,79.766622,71.416507,67.619429,55.522353,50.173322,54.612552,54.127725,76.580299,68.642282,73.896118,33.322995,56.759342,75.135782,70.470178,72.297231,53.413146,54.102888,59.271021,47.297424,62.185293,56.478553,58.925018,70.723063,77.074595,51.648755,45.231247,77.800015,60.952502,37.053323,58.28784,69.700269,65.331018,63.045607,67.172614,78.266016,56.202373,76.892917,47.913118,58.191937,66.240954,62.925423,80.151494,,1.7526218188074514e-12,0.0,0.00012375052600348916,,0.6945659963483004,1.0,0.42104277400022405
319,71.174418,95.56633,106.26216,81.760921,56.406234,91.599465,73.556552,54.450167,109.780923,90.454521,71.759553,64.206343,61.008867,63.262258,65.572351,92.703204,38.743975,65.032311,55.642862,97.859272,88.827169,91.883636,132.578034,74.093063,78.502473,59.355678,107.262208,63.009528,79.499322,67.900541,89.676673,65.50714,98.584405,72.363762,134.64679,55.527068,49.452043,114.976007,73.729679,83.278104,78.229447,92.958674,60.278368,60.323029,61.556011,142.413292,36.58986,60.854002,121.554376,77.227305,83.731538,74.45168,74.268107,63.825736,48.778336,79.687749,94.469916,74.378893,105.053661,78.092868,65.164193,48.03164,106.665994,95.130824,79.644862,54.691242,103.78368,49.668418,208.62556,110.359613,136.81611,64.983687,143.793737,72.948351,49.032249,74.097702,104.257055,160.543711,,0.0002656508364472886,0.00012375052600348916,0.0,,0.4018439015371985,0.42104277400022405,0.9999999999999999
