Cfap126,0.038925894,0.098016528,0.117002494,0.107575943,0.38440592,0.03455694,0.031557779,0.037091596,0.039229235,0.031335658,
Hes2,0.038925894,0.065344352,0.039000831,0.107575943,0.19220296,0.03455694,0.063115558,0.037091596,0.039229235,0.031335658,
Hjv,0.038925894,0.032672176,0.195004157,0.035858648,0.09610148,0.138227762,0.126231116,0.148366384,0.039229235,0.031335658,
Gene.name,36746,36764,36772,36787,36789,36797,36798,36905,36906,36907,P Values,Cfap126,Hes2,Hjv,R Values,Cfap126,Hes2,Hjv
Cfap126,0.038925894,0.098016528,0.117002494,0.107575943,0.38440592,0.03455694,0.031557779,0.037091596,0.039229235,0.031335658,,0.0,0.00013514509651459504,0.8521558530169515,,1.0,0.9236975888469563,0.06789805075308927
Hes2,0.038925894,0.065344352,0.039000831,0.107575943,0.19220296,0.03455694,0.063115558,0.037091596,0.039229235,0.031335658,,0.00013514509651459504,0.0,0.7765443580846755,,0.9236975888469563,1.0,-0.10324466217948977
null0,0.038925894,0.032672176,0.039000831,0.14343459,0.09610148,0.03455694,0.094673337,0.037091596,0.039229235,0.031335658,,0.23088843572516002,0.02806522351504909,0.748833323497811,,0.41674007671879476,0.6873695390366605,-0.11638267706396127
null1,0.077851789,0.16336088,0.156003326,0.14343459,0.09610148,0.03455694,0.094673337,0.037091596,0.039229235,0.031335658,,0.3347784652064361,0.33349932776079494,0.933324538825707,,0.3410916332841596,0.3419399259650173,0.030508591576247107
Hhex,0.155703578,0.098016528,0.039000831,0.035858648,0.04805074,0.103670821,0.126231116,0.037091596,0.039229235,0.031335658,,0.46199849108172275,0.6115387328562962,0.830375506974687,,-0.26348680917213746,-0.1836521926656735,-0.07801573306126638
Csmd1,0.155703578,0.065344352,0.156003326,0.035858648,0.19220296,0.172784702,0.410251128,0.037091596,0.039229235,0.031335658,,0.772429390843242,0.6438119927178201,0.21163321312395952,,0.10518844105540101,0.16744515854902026,0.4327281903381284
Kctd14,0.077851789,0.032672176,0.27300582,0.14343459,0.09610148,0.03455694,0.063115558,0.074183192,0.039229235,0.031335658,,0.45469816501333105,0.7411997758247414,0.11108205571512368,,0.26764287119532537,0.12002276469976686,0.5349647647984114
Hdc,0.038925894,0.065344352,0.039000831,0.035858648,0.04805074,0.03455694,0.094673337,0.074183192,0.039229235,0.031335658,,0.8064763089411708,0.920360612333691,0.43115097230448396,,-0.0891737009184573,0.03645498603733826,0.2812584407808922
null2,0.038925894,0.065344352,0.078001663,0.251010533,0.04805074,0.069113881,0.094673337,0.074183192,0.039229235,0.031335658,,0.9815386251890841,0.4698509637685099,0.8648375190029342,,0.008440086832290736,0.25904891413326386,-0.06202664781887855
null3,0.038925894,0.065344352,0.039000831,0.071717295,0.04805074,0.03455694,0.031557779,0.111274788,0.039229235,0.031335658,,0.954574388080038,0.8180944970537907,0.8154215905276,,0.02077495814764137,0.08374158524864511,0.08498995263936987
null4,0.116777683,0.065344352,0.039000831,0.071717295,0.09610148,0.069113881,0.031557779,0.111274788,0.039229235,0.031335658,,0.4537909554319534,0.4436547194225863,0.9306090596602826,,0.26816142637696616,0.2739874045738356,-0.03175357014444731
Cela1,0.194629472,0.032672176,0.117002494,0.251010533,0.04805074,0.172784702,0.063115558,0.111274788,0.039229235,0.031335658,,0.6338085201913431,0.8954370269348505,0.8772916805188112,,-0.1724384483603633,-0.04791003622117515,0.056273091234873215
null5,0.116777683,0.098016528,0.078001663,0.14343459,0.19220296,0.103670821,0.031557779,0.148366384,0.039229235,0.031335658,,0.038901537118252325,0.038004685663844025,0.7976215428395999,,0.657291640686674,0.6595469568880336,0.09332443192654212
Spem1,0.077851789,0.098016528,0.039000831,0.322727828,0.09610148,0.241898583,0.031557779,0.148366384,0.039229235,0.031335658,,0.9393229452782763,0.5561361048338298,0.8898211786011654,,0.02775946337408234,0.21221026892085237,-0.05049602153285669
null6,0.038925894,0.130688704,0.117002494,0.035858648,0.14415222,0.069113881,0.063115558,0.148366384,0.039229235,0.031335658,,0.12122209122046722,0.32627785088897615,0.12103542887611746,,0.5225669416288042,0.346760806917858,0.5227891959458738
null7,0.155703578,0.032672176,0.078001663,0.14343459,0.14415222,0.103670821,0.063115558,0.148366384,0.039229235,0.031335658,,0.3551147668060258,0.267614942458763,0.6003019909638517,,0.327820995069446,0.3882100657601654,0.1893646613014926
U6,0.272481261,0.032672176,0.039000831,0.14343459,0.04805074,0.172784702,0.094673337,0.148366384,0.039229235,0.031335658,,0.3763281302727874,0.577074653866063,0.9636674298673837,,-0.3143794561954326,-0.20129763278525759,-0.016613759838796635
Hjv,0.038925894,0.032672176,0.195004157,0.035858648,0.09610148,0.138227762,0.126231116,0.148366384,0.039229235,0.031335658,,0.8521558530169515,0.7765443580846755,0.0,,0.06789805075308927,-0.10324466217948977,1.0
C3ar1,0.116777683,0.16336088,0.27300582,0.071717295,0.576608881,0.138227762,0.094673337,0.222549576,0.039229235,0.031335658,,0.00039052258655086633,0.01498854614840457,0.24876063828138578,,0.8997763500738152,0.7371617357058653,0.40256339070121716
